정책,CAGR,Sharpe,MDD,Calmar,누적배수,최근1y,최근1y_MDD
p15,8.8,0.876,-14.0,0.633,8.89,43.2,-12.7
p20,9.4,0.863,-18.1,0.516,10.06,38.9,-12.9
p25,9.4,0.826,-22.1,0.425,10.18,36.4,-12.5
p25+자산군40,7.5,0.813,-19.9,0.378,6.51,39.9,-10.7
p20+자산군40,7.5,0.813,-18.1,0.412,6.43,45.5,-10.6
p30,9.5,0.804,-25.2,0.378,10.49,35.2,-12.1
p30+자산군50,8.4,0.788,-23.4,0.36,8.06,37.6,-12.1
p25+자산군50,8.3,0.786,-22.1,0.375,7.85,40.3,-12.2
p40,9.9,0.781,-28.7,0.347,11.57,35.6,-11.5
p50,10.5,0.77,-30.4,0.346,13.19,37.4,-11.1
A 전액(상한없음),11.0,0.768,-32.2,0.34,14.65,37.4,-11.2
C 현행,9.9,0.749,-25.1,0.392,11.33,37.4,-11.2
